DateTime,Close,Open,High,Low,Volume
05:00 21.03.22,1928.07,1926.34,1928.85,1926.04,8827
06:00 21.03.22,1925.51,1928.07,1928.31,1924.73,12910
07:00 21.03.22,1923.97,1925.47,1925.47,1922.73,16096
08:00 21.03.22,1924.96,1923.95,1925.88,1921.93,17931
09:00 21.03.22,1925.96,1924.98,1927.2,1923.5,17628
10:00 21.03.22,1925.41,1925.97,1927.09,1922.38,20114
11:00 21.03.22,1925.37,1925.34,1928.72,1922.6,21702
12:00 21.03.22,1925.16,1925.35,1927.92,1924.52,19284
13:00 21.03.22,1924.49,1925.18,1926.22,1921.56,35637
14:00 21.03.22,1929.67,1924.57,1930.34,1917.9,50554
15:00 21.03.22,1933.19,1929.68,1937.44,1929.68,45427
16:00 21.03.22,1934.96,1933.21,1935.95,1932.82,30518
17:00 21.03.22,1930.44,1934.96,1937.32,1929.46,39511
18:00 21.03.22,1931.9,1930.42,1932.28,1926.84,34410
19:00 21.03.22,1935.81,1931.91,1940.62,1931.07,24070
20:00 21.03.22,1935.01,1935.83,1940.34,1933.05,34272
21:00 21.03.22,1935.42,1935.13,1936.57,1933.72,11088
23:00 21.03.22,1936.08,1935.38,1936.57,1935,3920
00:00 22.03.22,1935.5,1936.06,1937,1934.49,7217
01:00 22.03.22,1931.18,1935.52,1935.56,1929.27,16051
02:00 22.03.22,1932.8,1931.11,1933.67,1930.11,19983
03:00 22.03.22,1935.63,1932.8,1935.83,1931.83,14118
04:00 22.03.22,1936.65,1935.65,1937.77,1934.59,15894
05:00 22.03.22,1934.62,1936.65,1936.65,1933.5,10685
06:00 22.03.22,1936.69,1934.6,1938.3,1934.46,13774
07:00 22.03.22,1934.59,1936.72,1938.23,1934.49,16105
08:00 22.03.22,1933.39,1934.66,1936.02,1932.2,17488
09:00 22.03.22,1924.56,1933.36,1933.36,1922.75,30796
10:00 22.03.22,1925.12,1924.56,1925.81,1922.71,26711
11:00 22.03.22,1927.26,1925.15,1930.08,1924.74,24574
12:00 22.03.22,1927.51,1927.26,1929.79,1925.19,20432
13:00 22.03.22,1927.78,1927.5,1930.74,1923.9,38673
14:00 22.03.22,1923.26,1927.8,1928.02,1919.58,53899
15:00 22.03.22,1915.15,1923.29,1923.79,1910.62,57244
16:00 22.03.22,1917.78,1915.15,1918.14,1911.01,37401
17:00 22.03.22,1919.93,1917.8,1923.12,1917.5,34781
18:00 22.03.22,1920.29,1919.93,1923.25,1918.22,32701
19:00 22.03.22,1923.04,1920.32,1924.72,1919.98,23750
20:00 22.03.22,1921.54,1922.82,1923.21,1920.44,30770
21:00 22.03.22,1921.03,1921.55,1922.17,1920.47,7014
23:00 22.03.22,1920.66,1920.26,1921.91,1919.77,4099
